CRN,Crse,Sect,Title,Course,Cr,GM,Type,Days,Time,Loc,P-Term,Dates,Instructor,Fee,Max,Enrl,AVL,XL-Max,XL-Enrl,Wait,Rsrvd,Status,Lib Ed,Perm
21217,MATH 345A,01 ,Differential Equations I,MATH 345A Differential Equations I,3,L,CLAS ,WF,13:30-14:50  ,SLC 313 ,Full Term,01/11/2023-04/24/2023 ,"Park, F  ",-,20 ,9 ,11 ,-,-,0,-,Open ,-,-
22522,MATH 481,1 ,Modern Algebra II,MATH 481 Modern Algebra II,3,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Smith, F  ",-,5 ,1 ,4 ,-,-,0,-,Open ,-,IN 
21484,MUS 014,01 ,Voice Class for Beginners,MUS 014 Voice Class for Beginners,1,L,CLAS ,R,13:30-14:50  ,MB 204 ,Full Term,01/11/2023-04/24/2023 ,"Landis, M  ",-,15 ,6 ,9 ,-,-,0,-,Open ,-,-
20106,MUS 018,01 ,College Choir,MUS 018 College Choir,0-1,L,CLAS ,MWF,16:30-17:30  ,AR  ,Full Term,01/11/2023-04/24/2023 ,"Grabarchuk, A  ",35,75 ,28 ,47 ,-,-,0,-,Open ,COM3,-
20108,MUS 051,01 ,Chamber Singers/Bella Voce,MUS 051 Chamber Singers/Bella Voce,0-1,L,CLAS ,W,17:30-18:30  ,-,Full Term,01/11/2023-04/24/2023 ,"Grabarchuk, A  ",-,15 ,10 ,5 ,-,-,0,-,Open ,COM3,-
20109,MUS 051,04 ,Chamber Music: Winds/Brass,MUS 051 Chamber Music: Winds/Brass,0-1,L,CLAS ,W,16:30-18:30  ,CHAP  ,Full Term,01/11/2023-04/24/2023 ,"Muller, D  ",-,100 ,8 ,92 ,-,-,0,-,Open ,COM3,-
20304,MUS 051,02 ,Chamber Music: Jazz/Blues Ense,MUS 051 Chamber Music: Jazz/Blues Ense,0-1,L,CLAS ,R,17:30-19:00  ,AR  ,Full Term,01/11/2023-04/24/2023 ,"Arellano Jr., J  ",-,100 ,13 ,87 ,-,-,0,-,Open ,COM3,-
20318,MUS 051,05 ,Chamber Music: String Ensemble,MUS 051 Chamber Music: String Ensemble,0-1,L,CLAS ,M,19:00-21:00  ,AR  ,Full Term,01/11/2023-04/24/2023 ,"Ho, L  ",-,100 ,4 ,96 ,-,-,0,-,Open ,COM3,-
21025,MUS 051,06 ,Chamber Music: Handbells,MUS 051 Chamber Music: Handbells,0-1,L,CLAS ,T,16:30-18:30  ,AR  ,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,15 ,6 ,9 ,-,-,0,-,Open ,COM3,-
22283,MUS 070,01 ,Introduction to Music Theory & Musicianship,MUS 070 Introduction to Music Theory & Musicianship,3,L,CLAS ,TR,11:00-12:20  ,MB 202 ,Full Term,01/11/2023-04/24/2023 ,"Muller, D  ",-,20 ,7 ,13 ,-,-,-,-,Open ,-,-
22180,MUS 079,01 ,The Life and Works of JS Bach,MUS 079 The Life and Works of JS Bach,3,L,CLAS ,TR,13:30-14:50  ,MB 202 ,Full Term,01/11/2023-04/24/2023 ,"Grabarchuk, A  ",-,24 ,16 ,8 ,-,-,0,-,Open ,CUL5,-
20190,MUS 100H,01 ,Harmony I,MUS 100H Harmony I,3,L,CLAS ,MWF,11:00-11:50  ,MB 204 ,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,24 ,3 ,21 ,-,-,0,-,Open ,-,-
20192,MUS 100M,01 ,Musicianship I,MUS 100M Musicianship I,1,L,CLAS ,TR,11:00-12:20  ,MB 204 ,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,24 ,3 ,21 ,-,-,0,-,Open ,-,-
21782,MUS 110,01 ,Piano Class for Beginners,MUS 110 Piano Class for Beginners,1,L,CLAS ,W,15:00-16:20  ,MB 108 ,Full Term,01/11/2023-04/24/2023 ,"Lee, H  ",-,10 ,8 ,2 ,-,-,0,-,Open ,-,-
21543,MUS 111,01 ,Digital Music Notation,MUS 111 Digital Music Notation,2,L,CLAS ,TR,13:30-14:50  ,MB 108 ,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",50,14 ,6 ,8 ,-,-,0,-,Open ,-,-
20115,MUS 198,01 ,Priv Inst - Trap Set,MUS 198 Priv Inst - Trap Set,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Barrientos, V  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
20116,MUS 198,02 ,Priv Inst - Trumpet,MUS 198 Priv Inst - Trumpet,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Ford, J  ",-,30 ,1 ,29 ,-,-,0,-,Open ,-,IN 
