Year,Course,Grade,value
2018,EDUC 606 Eductnl Inqry Practicum,A-,1
2018,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 533 CreatPost ClassrmMang&BhvrSys,B-,1
2021,EDUC 534 Chctr&InstrctPrctsStudntsDisab,A,1
2016,EDUC 502 Literacy Devlp in Elem School,A-,1
2017,EDUC 590 Special Topics,A,1
2021,EDUC 509 SS Curr & Ped II:,B+,1
2018,EDUC 606 Eductnl Inqry Practicum,A,1
2018,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 530 Found in Special Education,A,1
2019,ENGL 373 African-American Literary Trad,B+,1
2021,ENGL 410 Senior Seminar,B+,1
2021,ENGL 290 Writing Workshop:,A,1
2021,THEA 220 Voice and Mvmnt for the Actor,A-,1
2017,"ENST 301 Envrnmntl Pol, Anlys and Law",A-,1
2021,REL 330 Buddha and Buddhism,B+,1
2021,ENGL 400 Critical Proced. in Lang/Lit.,B,1
2017,FILM 270 Film Genre: Horror,C+,1
2018,INTD 277 Who Am Eye?,B+,1
2017,REL 321 Religion in America,C,1
2019,ENGL 377 Autobiography & Amer Culture,B,1
2021,KNS 440 Motor Learning & Control,B+,1
2021,KNS 415 Community Nutrition,B+,1
2017,BIOL 300A Human Physiology & Anatomy I,A-,1
2017,BIOL 302 Applied Human Anatomy and Phys,A,1
2018,KNS 311 Biomechanics,B,1
2021,EDUC 501 Teaching Diverse Learners,A-,1
2021,EDUC 606 Eductnl Inqry Practicum,A,1
2021,EDUC 605 Introduction Education Inquiry,A-,1
2021,EDUC 508 SS Curric & Pedagogy I,A-,1
2018,EDUC 500 Soc/Anthr Perspective on Educ,A,1
2019,EDUC 506 Learning and Learners,A,1
2017,EDUC 500 Soc/Anthr Perspective on Educ,A,1
2017,"EDUC 505 MS Curr & Ped: LA w H-SS, V&PA",A,1
2017,EDUC 506 Learning and Learners,A,1
2021,EDUC 501 Teaching Diverse Learners,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 529 Intro to Exceptional Learners,A,1
2017,SOWK 373 Human Behav & the Social Envrn,A-,1
2017,SOWK 414 Soc Wrk Prac & Sem III,A,1
2017,SOWK 408 Integrative Seminar,C,1
2017,SOWK 413 Soc Wrk Prac & Sem II,A-,1
2019,SOWK 412 Social Wrk Prac & Sem I,B+,1
2021,THEA 270 Film Genre,B,1
2021,PHIL 270 History of Social Thought,B+,1
2017,THEA 260 Chicano/Latino Theatre,A,1
2021,BIOL 152 Biology of Organisms,C,1
2016,PSYC 222 Biological Bases of Behavior,A,1
2017,SOC 214 Statistics,C,1
2017,SOC 214L Statistics - SPSS,C,1
2021,PSYC 415 Literature Review Seminar,D,1
2021,PSYC 499 Senior Presentation,C+,1
2021,ORGL 100 Foundations of Leadership,B,1
2018,REL 390 Feminist Philosophy,B+,1
2016,PSYC 224 Language and the Brain,B,1
2019,BSAD 489 Management Strategy and Policy,C,1
2020,BSAD 350 International Business,B-,1
2020,BSAD 423 International Marketing,B,1
2021,CHIN 160 Chinese for Business & Travel,B+,1
2021,ENVS 100 Intro to Environmental Science,D,1
2019,ECON 363 Energy and Climate Change,D,1
2016,BSAD 341 Management Information Systems,B-,1
2017,MATH 080 Elementary Statistics,C,1
2021,ECON 201 Principles of Econ: Micro.,B,1
2019,ENGL 334 Romantic Poetry,B,1
2021,INTD 217 Search: Extraterrestrial Life,B,1
2021,HIST 390 Romantic Revolutions,B-,1
2016,MUS 018 College Choir,A,1
2021,CHIN 320 Composition and Conversation,B-,1
2021,CHIN 311 Intro to Chinese Linguistics,B,1
2021,CHIN 221 Intermediate Chinese II,B+,1
2021,CHIN 430 Chinese Poetry,A-,1
2021,CHIN 499 Senior Paper and Presentation,A-,1
2021,MUS 102 History of Jazz,B,1
2019,BSAD 489 Management Strategy and Policy,B-,1
2021,BSAD 310 Business Finance I,D,1
2021,ECON 390 International Trade,C-,1
2021,SPAN 120 Elementary Spanish I,A,1
2017,"EDUC 505 MS Curr & Ped: LA w H-SS, V&PA",A,1
2017,EDUC 506 Learning and Learners,A,1
2021,EDUC 501 Teaching Diverse Learners,A-,1
2019,EDUC 502 Literacy Devlp in Elem School,A-,1
2021,EDUC 504 Scnd Lang Acquisition Methdlgy,A,1
2021,EDUC 606 Eductnl Inqry Practicum,A,1
2021,EDUC 605 Introduction Education Inquiry,A-,1
2021,EDUC 507 MS Curr & Ped: Math & Science,B,1
2021,EDUC 529 Intro to Exceptional Learners,A,1
2019,EDUC 500 Soc/Anthr Perspective on Educ,A,1
2021,COSC 100 Introduction to Computer Sys,C,1
2021,PLSC 380 Normative Political Theory,A,1
2020,HIST 314 Three Wars,A-,1
2021,PHIL 105 Introduction to Ethics,B+,1
2018,PLSC 220 International Relations,A,1
2018,PLSC 332 American Foreign Policy,A,1
2021,INTD 270 Introduction to Public Health,A,1
2021,PLSC 340 Political Violence,B+,1
2021,PLSC 376 Law and the Courts,A-,1
2021,KNS 375 Ethics In Sport,B+,1
2018,ENGL 120 Why Read?,A,1
2021,ART 222 Painting I,A-,1
2021,"INTD 203 The Sea:Past, Present & Future",B+,1
2016,PLSC 400 Seminar in American Politics,B+,1
2016,PLSC 385 Research Methods,A,1
2016,PLSC 385L Research Methods Lab,A,1
2018,PLSC 290 The Politics of Law and Order.,A-,1
2018,INTD 290 Science Controversies in Ameri,B+,1
2021,PLSC 260 Public Administration & Policy,B+,1
2021,KNS 300 Current Topics in Health,B+,1
2021,KNS 275 Concepts of Healthy Living,B-,1
2021,KNS 440 Motor Learning & Control,B-,1
2021,KNS 489 Seminar in Kineslgy&Nutrition,B-,1
2018,REL 307 Religion and the Body,B,1
2018,BSAD 130 Business and Society,B,1
2021,"REL 236 Islam, the Middle East, and th",C+,1
2016,CHEM 110A General Chemistry I,C,1
2018,FREN 190 Selected Topics in FREN,B-,1
2018,KNS 290 Who am Eye?,B,1
2021,FILM 270 Film Genre,B-,1
2021,SPAN 490 Classics in Hispanic Texts,A,1
2021,SPAN 485 Subaltrn Vcs:Dvrsty&Margnlztn,A,1
2021,SPAN 310 Advanced Spanish Gramr & Comp,B,1
2021,FREN 499 Senior Paper & Presentation,A,1
2021,FREN 356 Intro. to French Lit. II,A,1
2021,FREN 473 French Cinema,A,1
2021,SPAN 499 Senior Presentation,A,1
2021,SPAN 470 Lat. Amer. Voices: 20th Cent.,A,1
2021,SPAN 325 Conversatn on Hispanic Culture,A,1
2021,SPAN 395 Independent Studies,A,1
2018,FREN 325 French Culture & Civilization,A,1
2017,EDUC 500 Soc/Anthr Perspective on Educ,B-,1
2017,EDUC 506 Learning and Learners,A-,1
2021,EDUC 501 Teaching Diverse Learners,A-,1
2021,EDUC 605 Introduction Education Inquiry,A-,1
2021,THEA 315 Fundamtls of Stage Direction,A,1
2021,THEA 372B World Theatre,B,1
2021,THEA 485 Senior Project in Theatre,A,1
2021,INTD 218 Insects and People,D,1
2021,PSYC 214 Statistics,D,1
2021,PSYC 214L Statistics - SPSS,B,1
2016,PSYC 222 Biological Bases of Behavior,D,1
2016,PSYC 222 Biological Bases of Behavior,B-,1
2016,PSYC 214 Statistics,B-,1
2021,BIOL 151 Cell & Molecular Biology,B,1
2021,BIOL 331 Immunology,B-,1
2021,BSAD 201 Principles of Financial Acctg,D,1
2021,BSAD 310 Business Finance I,C+,1
2021,CHEM 231A Organic Chemistry I,C,1
